电影名,类型,上映日期,时长（分）,导演,主要演员,全部演员,票房,豆瓣链接,豆瓣评分,豆瓣评分人数,豆瓣短评数,豆瓣长评数,猫眼评分,时光网评分,imdb评分
无迹可寻,悬疑 惊悚,2018-02-09(中国大陆),90,张帆,宋洋 淳于珊珊 连凯,宋洋 淳于珊珊 连凯 李晓红 蒋一铭 林琪 武振素,36,https://movie.douban.com/subject/27661976/,,0,59,4,4.5,5.1,
策反,剧情 战争 悬疑,2018-05-26(中国大陆),115,韦廉,刘端端 尹玲 韩夫一,刘端端 尹玲 韩夫一 卢海华 任学海 田雨晴 冷海铭,36,https://movie.douban.com/subject/30212356/,,0,9,1,,0.0,
天佑之爱,奇幻 音乐,2018-07-13(中国大陆),95,红旗,周昊勇呈 郭少芸 白柳汐,周昊勇呈 郭少芸 白柳汐 白湘妃,36,https://movie.douban.com/subject/30249257/,,0,24,1,,,
红盾先锋,剧情 传记,2018-07-08(中国大陆),83,杨真,由立平 窦凤琴 王建飞,由立平 窦凤琴 王建飞 马亚楠 张珺 余治华 段亚军 高伟中 田艺 张少云,35,https://movie.douban.com/subject/26614101/,,0,19,12,,,
余额不足,喜剧,2018-02-02(中国大陆),97,卫捷,柯伯龙 闫鹿杨 王多多,柯伯龙 闫鹿杨 王多多 冯棉 韩笑 左腾云 雪村 刘惠 巴多 董立范 马筱哲,34,https://movie.douban.com/subject/27200821/,,0,32,2,,,
天籁梦想,剧情 家庭,2018-01-09(中国大陆),85,张唯,落松土登 益西旦增 嘎玛松姆,落松土登 益西旦增 嘎玛松姆 班玛久买 索朗旺堆 阿旺卓玛,33,https://movie.douban.com/subject/27170581/,6.4,174,54,17,8.8,6.8,7.9
中学时代,喜剧,2018-09-21(中国大陆),102,王熠,刘帅良 余心恬 汤镇业,刘帅良 余心恬 汤镇业 张译夫 曾丽瑶 黄婧仪 刘耀阳 姚书豪,32,https://movie.douban.com/subject/30327900/,,0,40,5,,,
皮鞋,剧情,2018-10-17(中国大陆),91,宋遥平,杨猛 李菁菁 张贵生,杨猛 李菁菁 张贵生,32,https://movie.douban.com/subject/30336271/,,0,34,1,,0.0,
正正的世界,剧情,2018-11-20(中国大陆),95,孙杰,宁宗元达 时晓飞 田媛,宁宗元达 时晓飞 田媛 王海洋 刘文曲,30,https://movie.douban.com/subject/30367751/,,0,63,6,,,
玩命,喜剧 动作,2018-03-30(中国大陆),88,李炳渊,李炳渊 大卫·贝利 李炳雷,李炳渊 大卫·贝利 李炳雷 黄译萱 王洪祥 徐少强,30,https://movie.douban.com/subject/27203642/,4.1,265,116,15,6.8,4.9,
梦境之源,悬疑 惊悚,2018-11-16(中国大陆),90,柳珂,陈志朋 颜丹晨 李彧,陈志朋 颜丹晨 李彧 安琥 方中信 李若玹,29,https://movie.douban.com/subject/27202758/,,0,40,12,6.1,,
三伏天,剧情 同性,2018-03-30(中国大陆),96,乔丹·席勒,黄璐 罗蓝山 田牧宸,黄璐 罗蓝山 田牧宸,28,https://movie.douban.com/subject/26715485/,4.7,1916,668,17,,5.9,7.6
大雪冬至,剧情,2018-01-25(中国大陆),87,邢潇,祝希娟 果汁 张桐,祝希娟 果汁 张桐 李金斗 赵婉瑜,28,https://movie.douban.com/subject/27063331/,6.4,707,259,31,,,
疯狂熊孩子,儿童 喜剧,2018-02-09(中国大陆),88,李振,王一鸣 吴军 李屹伦,王一鸣 吴军 李屹伦 张博 周显欣 阳蕾 句号 董立范,28,https://movie.douban.com/subject/27667817/,,0,30,1,,,
过往的梦,剧情 爱情 犯罪,2018-09-07(中国大陆),87,翔子,宫哲 张珏 李骏诚,宫哲 张珏 李骏诚 张悦楠 庄心妍,28,https://movie.douban.com/subject/27107609/,,0,34,2,,,
奶奶的家,剧情 家庭,2018-11-23(中国大陆),89,陆诗雨,刘未晞 贾承凯 周金凤,刘未晞 贾承凯 周金凤 刘真佑 宁文彤 姚增强 彭波,28,https://movie.douban.com/subject/30362527/,,0,13,1,,,
奇幻梦之旅,喜剧 爱情 奇幻,2018-11-30(中国大陆),90,高旭,宋睿 高旭 明星,宋睿 高旭 明星 温浩哲 许升,28,https://movie.douban.com/subject/30387540/,,0,17,2,,,
三界,科幻 悬疑,2018-05-31(中国大陆),95,靳斌,李恰 刘成 张治中,李恰 刘成 张治中 宋恩逸 潘宜刚 焦祺越,27,https://movie.douban.com/subject/30234931/,,0,10,0,,0.0,
沿海出发,剧情 家庭,2018-10-15(中国大陆),115,殷玉洲,杨璐 王小雨 周业余,杨璐 王小雨 周业余 殷汝利 连建亭 于飞 刘爱琴 王晓义 刘泓江,27,https://movie.douban.com/subject/30162995/,6.2,229,95,11,,,
雪·葬,剧情,2018-04-27(中国大陆),105,高成岗,任帅 徐永革 叶鹏,任帅 徐永革 叶鹏,26,https://movie.douban.com/subject/27592569/,,0,16,1,,0.0,
爱不可及,爱情 悬疑,2018-12-07(中国大陆),93,胡野秋,陈育臣 张颖冰 祝涛,陈育臣 张颖冰 祝涛 王嘉莹 杜钧,26,https://movie.douban.com/subject/30316400/,,0,18,3,,,
大导归来,喜剧,2018-02-09(中国大陆),95,李诚儒,李诚儒 王姬 张桐,李诚儒 王姬 张桐 于金源 吴恙 季晨 杨子骅 王子今 王俏霖 Sarah,24,https://movie.douban.com/subject/26857951/,,0,25,1,,,
我是检察官,剧情,2018-09-20(中国大陆),89,高亚麟,宣言 邢佳栋 丁洋,宣言 邢佳栋 丁洋 谈莉娜 任正斌 东靖川,24,https://movie.douban.com/subject/30308908/,,0,14,5,,,
纯真年代,剧情 儿童 家庭,2018-08-24(中国大陆),95,韩荣声,范洪涛 张琳 黄宝龙,范洪涛 张琳 黄宝龙 温正邦 古玉枫 王思霖 廖丽 黎骏 古运昌 邹馥莲,24,https://movie.douban.com/subject/30263969/,6.1,495,219,8,,,
左滩,剧情,2018-07-07(中国大陆),90,张智超,张智超 安然 卢喜文,张智超 安然 卢喜文 袁中方 李美慧 廖崇儒 郑小毛 温广瑜 唐茜,23,https://movie.douban.com/subject/30261979/,,0,33,4,,,
向阳的日子,剧情,2018-10-19(中国大陆),97,张罗平,吴超 海尔夫 王力可,吴超 海尔夫 王力可 吕聿来 金喜,23,https://movie.douban.com/subject/26857964/,6.2,482,244,39,,,0
淡蓝琥珀,剧情 悬疑,2018-12-17(中国大陆),96,周劼,王真儿 吕聿来 耿乐,王真儿 吕聿来 耿乐 张瑶 王彩平,23,https://movie.douban.com/subject/27069377/,6.3,2676,1089,33,,,5.7
夜魔奇案,剧情 悬疑 惊悚,2018-12-21(中国大陆),104,邵大卫,乔乔 何若鹤 马江德,乔乔 何若鹤 马江德 许政国 马丹阳 王妍言 陈古诺 刘晓燕 杨语溪 秦晔,23,https://movie.douban.com/subject/30379943/,,0,242,14,6.7,,0
毕业旅行笑翻天,剧情 喜剧 爱情,2018-02-01(中国大陆),98,高志森 张毅 胡圣亚,徐娇 邱胜翊 王栎鑫,徐娇 邱胜翊 王栎鑫 禾浩辰 欧阳妮妮 韩雨洁 林子聪 恬妞 蒲冰墨 昌隆 林雪 刘志宏 曹佑宁 杨迪 李唯贺 邰智源 许效舜,22,https://movie.douban.com/subject/26597804/,2.4,629,279,20,7.8,,
致命夺宝,动作 爱情 冒险,2018-06-22(中国大陆),88,冯铁城,于果儿 王可 大卫·毕加索,于果儿 王可 大卫·毕加索 杨梓艺 王海峰 恩纳 马丽,22,https://movie.douban.com/subject/30230633/,,0,21,2,,,
片警宝音,剧情,2018-12-19(中国大陆),97,杨瑾,宝音尼木胡 巴德玛 陈维涵,宝音尼木胡 巴德玛 陈维涵 塔娜 都愣扎那 僧格仁钦 鄂尔奇斯 敖敦高娃,21,https://movie.douban.com/subject/30316976/,,0,69,5,,,
求求你爱上我,剧情 喜剧 爱情,2018-04-20(中国大陆),104,董春泽,姜涛 钱冬旎 骏声,姜涛 钱冬旎 骏声 智泓 傅亨 尚茜 高嘉隆,21,https://movie.douban.com/subject/30188193/,4.8,1527,657,21,,6.1,
美丽战争,剧情 动作,2018-10-19(中国大陆),113,陈勋奇,谭耀文 孟广美 马国明,谭耀文 孟广美 马国明 那广子 罗彬,19,https://movie.douban.com/subject/27204589/,,0,17,6,,,
五度空间,悬疑 惊悚,2018-01-26(中国大陆),88,夏天,邹东孝 屈菁菁 侯京健,邹东孝 屈菁菁 侯京健 梁超 张诗絮 许文广,18,https://movie.douban.com/subject/26606761/,,0,39,9,,,
八只鸡,剧情,2018-07-19(中国大陆),,高建国,方城淞,方城淞,18,https://movie.douban.com/subject/30252555/,,0,28,4,,,
天刃,动作 犯罪 悬疑,2018-09-21(中国大陆),96,朱丹,许铂岑 杜旭东 杜金京,许铂岑 杜旭东 杜金京 常戎 李玉峰 张勇手 王丽云 刘忠元 杨磊,18,https://movie.douban.com/subject/30312917/,,0,7,1,,,
壹号别墅,剧情 悬疑,2018-04-19(中国大陆),89,王保国,项洪 侯宇航 林诗曈,项洪 侯宇航 林诗曈 关健,18,https://movie.douban.com/subject/30183443/,,0,87,4,,,
天下父母,剧情,2018-05-13(中国大陆),92,崔守杰,李树生 郭慧 王义钦,李树生 郭慧 王义钦 王梁双全 凌柒 司怡 冯健 汤阳 张坚 李雪蕊 张航嘉,18,https://movie.douban.com/subject/30200556/,,0,25,1,,,
出山,剧情 传记,2018-08-22(中国大陆),107,王坪,卢奇 安荣生 郑卫莉,卢奇 安荣生 郑卫莉 宋晓英 张书田  赵福余 吴玉盛  李梅可 唐国强 刘劲,16,https://movie.douban.com/subject/25966209/,,0,20,2,,,
大唐风云2,儿童 动画,2018-12-01(中国大陆),89,杨广福,,,15,https://movie.douban.com/subject/30387545/,,0,11,0,,0.0,
地下凶猛,剧情 喜剧,2018-06-29(中国大陆),98,李炳,刘沙 孙强 高歆迪,刘沙 孙强 高歆迪 王伟华 支一 释恒利 郭力行 崔可法 李文玲 孙敬季 姜超,15,https://movie.douban.com/subject/24843621/,,0,63,5,,,
怒放的花儿,剧情,2018-08-24(中国大陆),93,李墨言 尚成员,仇硕康 赵斐 楚建,仇硕康 赵斐 楚建,14,https://movie.douban.com/subject/30296129/,,0,2,0,,,
云上日出,剧情 儿童 战争,2018-12-11(中国大陆),102,熊玮,荣梓杉 关亚军 丁宁,荣梓杉 关亚军 丁宁 郭紫铭 高山流水 栾蕾英 陈帅,14,https://movie.douban.com/subject/30181498/,,0,75,36,,,
落绕,剧情 爱情,2018-03-02(中国大陆),94,侯翀,王艺曈 周杰 李虎城,王艺曈 周杰 李虎城 杜建桥 王春妹 张东旭 张津铭 王红旗,14,https://movie.douban.com/subject/28446693/,,0,76,3,,,
不一样的焰火,剧情,2018-10-26(中国大陆),91,张一墨,居文沛 闫美伊 唐小然,居文沛 闫美伊 唐小然 祖力皮卡尔·吐尔地 季晓,14,https://movie.douban.com/subject/30263815/,,0,2,1,,,
翻滚吧姐妹,喜剧,2018-03-01(中国大陆),87,王钲,冯铭潮 赵多娜 陈美行,冯铭潮 赵多娜 陈美行 苗皓钧 厉娜 蔓汐 姜星呈 金迪 董李无忧,13,https://movie.douban.com/subject/26898855/,,0,327,38,,6.5,
擒贼先擒王,剧情 犯罪,2018-05-18(中国大陆),92,李相国,郭凯敏 刘金山 孙浩涪,郭凯敏 刘金山 孙浩涪 郑龙 阚宇 刘妙 闫立飞 闫彦龙 夏赫娜赞·阿尔斯郎,13,https://movie.douban.com/subject/30176809/,4.9,424,144,5,,,
红月亮之武陵山歌,剧情,2018-01-15(中国大陆),104,卢玉波,黄立业 杨雅荔 陈靖康,黄立业 杨雅荔 陈靖康 苏远大 冉易居 王珍晶,12,https://movie.douban.com/subject/26996415/,,0,2,0,,,
产科男生,剧情 爱情,2018-11-02(中国大陆),90,梁立新,罗翔 苏小妹 陈美行,罗翔 苏小妹 陈美行 范范 马征 严仁鲜 李沛霖 张佳浩 孙峰苑 晏妮,12,https://movie.douban.com/subject/27158277/,,0,39,2,,,
天使的声音,剧情,2018-01-20(中国大陆),92,和成,王倩 杨正驰 石菲,王倩 杨正驰 石菲 张艺杰 龙慧瑶,12,https://movie.douban.com/subject/27661668/,,0,7,2,,,
明天有多远,剧情,2018-06-26(中国大陆),80,王劲松,池华琼 王宇 何军,池华琼 王宇 何军 李凤鸣 徐鸥仪 张梓豫,12,https://movie.douban.com/subject/27175526/,,0,29,1,,,
爱在前方,剧情,2018-06-07(中国大陆),90,石易矗,周安信,周安信,12,https://movie.douban.com/subject/30227538/,,0,12,1,,,
请你记住我,剧情 爱情,2018-11-30(中国大陆),96,彭小莲,冯文娟 贾一平 黄宗英,冯文娟 贾一平 黄宗英 徐才根,12,https://movie.douban.com/subject/27121890/,,0,70,9,,,0
寻找雪山,剧情,2018-06-01(中国大陆),86,何志涛,蒋济远 王馨月 王馨云,蒋济远 王馨月 王馨云 郭俊宇 孙楚安安 赵秋萍 和亚月 苗苗 曾曾,11,https://movie.douban.com/subject/30215891/,,0,8,1,,,
格桑花开的时候,剧情 喜剧 爱情,2018-07-12(中国大陆),95,姜大伟,郑岚 董长健 闫旭,郑岚 董长健 闫旭 金子 王彩儿 宋祉璇 陆炫延 林欣蕊 王品 许婉 修睿 赵亮 李炎妍 武希凤 赵薇 牟有名 戴振环 田雨 赵壮,11,https://movie.douban.com/subject/27053277/,,0,19,12,,,
梭哈人生,剧情 喜剧 爱情,2018-01-30(中国大陆),90,郑来志,谭佑铭 施予斐 赵樱子,谭佑铭 施予斐 赵樱子 孟智超 李林轩,11,https://movie.douban.com/subject/27156899/,4.2,399,122,7,,,0
疯狂的麻将,喜剧,2018-06-16(中国大陆),87,孙铁军,张鹰 杨子沫 贾小双,张鹰 杨子沫 贾小双,10,https://movie.douban.com/subject/30224724/,,0,9,0,,0.0,
二师兄来了,剧情 喜剧,2018-04-13(中国大陆),93,朱丹,杜旭东 刘江 王菀晨,杜旭东 刘江 王菀晨 杨磊 李明 张连文 杜金京,10,https://movie.douban.com/subject/30180521/,,0,8,1,,0.0,
神谕通天,喜剧 悬疑 古装,2018-05-25(中国大陆),86,李军,敖犬 蔡诗芸 阮颂扬,敖犬 蔡诗芸 阮颂扬 夏文汐 陈嘉桓 余小孽 欧阳超 唐昕 关思慧 宋庭隽 张朋 郑明洋 王龙雨 张博楠 刘瑜峰 贾子宸 何武阳,10,https://movie.douban.com/subject/27041538/,,0,87,3,,,
时间暗局,犯罪 悬疑,2018-05-25(中国大陆),87,陈亮言,王宇泽 秦鸣悦 贾子宸,王宇泽 秦鸣悦 贾子宸 曹蕴 闫锐 周历杰 段同舟 梁琛,10,https://movie.douban.com/subject/30197981/,,0,31,3,,,
33号公路,喜剧 爱情,2018-11-30(中国大陆),98,史强,贡米 郭子瑜 李封乾,贡米 郭子瑜 李封乾 奇凌 朱永棠 吴晓莉 王茹 张政,9,https://movie.douban.com/subject/30365810/,,0,20,3,,,
爱在归来那一天,剧情 爱情,2018-11-22(中国大陆),92,杨大田,董晨 李岷城 刘艺,董晨 李岷城 刘艺 王双宝 杨杰宇,9,https://movie.douban.com/subject/30279917/,,0,18,3,,0.0,0
疯狂暑期之哈喽怪物,剧情 儿童 奇幻,2018-08-21(中国大陆),99,史震飞,洪天照 晋松 许皓勋,洪天照 晋松 许皓勋 李亚真 罗家英 何雄飞 王善森 苏婧 张姮儿 郑皓原 张佳航 郑茜 李美君 刘浩俊龙 王新昉,9,https://movie.douban.com/subject/30291398/,,0,16,2,,0.0,
同名男子,剧情 犯罪 悬疑,2018-12-04(中国大陆),91,何力,唐以诺 姚星竹 杨金赐,唐以诺 姚星竹 杨金赐 张春,8,https://movie.douban.com/subject/27624662/,6.7,1321,430,7,,,
萌宠入殓师,剧情 爱情,2018-08-31(中国大陆),90,源唯杰,薛明媛 傅亨 喻言,薛明媛 傅亨 喻言 王居峰 林鑫皜 湉湉 李松珂 尔玛依娜 王波 程诚 杨光 源唯杰 博弘,8,https://movie.douban.com/subject/30227735/,,0,49,5,,,
来日方长,剧情 喜剧,2018-12-14(中国大陆),87,刘德强,孙聪 李明 于又川,孙聪 李明 于又川 铁牛 崔菁格 李达 郭京波 张正辉 鞠小云 洛嘉 姜永波 董立范 李军,7,https://movie.douban.com/subject/30381822/,,0,19,2,,,
青春24秒,爱情 运动,2018-03-23(中国大陆),85,季钢,黄俊捷 魏晚秋 闫露娢,黄俊捷 魏晚秋 闫露娢 陈诚 李冠星 钟正 罗家英 于嘉 黑文 张美娥 陆婷玉,7,https://movie.douban.com/subject/26828415/,,0,28,4,,,
丢心,剧情,2018-01-12(中国大陆),104,汪小平 崔潇,陈逸恒 黄若萌 周浩东,陈逸恒 黄若萌 周浩东 王奕盛 顾婷萱 石黎明 李超 李通 兰颖 朱鑫,7,https://movie.douban.com/subject/27017988/,,0,50,1,,,
一个人的江湖,剧情 动作,2018-06-08(中国大陆),90,喻亢 黄建业,梁恩 屠育玮 张佳熙,梁恩 屠育玮 张佳熙 喻亢 魏宗万,7,https://movie.douban.com/subject/30211728/,,0,117,9,,,
天梦,剧情,2018-05-11(中国大陆),91,许文琦,金巧巧 何中华 张萍娟,金巧巧 何中华 张萍娟 宋邦春 沈居辉 姜斐,6,https://movie.douban.com/subject/26682831/,5.7,141,43,2,,,
轻轻握住你的手,剧情,2018-12-14(中国大陆),100,张健伟,郭纬 马藜 卡奇,郭纬 马藜 卡奇 李保民 龚诗瑶 张洪铭,6,https://movie.douban.com/subject/27611675/,,0,3,0,,0.0,
那年，我还没长大,剧情,2018-06-08(中国大陆),95,马和平,王广达 赵纪东 曾浩宇,王广达 赵纪东 曾浩宇,6,https://movie.douban.com/subject/30230515/,,0,5,1,,0.0,
他是一只狗,喜剧 爱情 奇幻,2018-08-17(中国大陆),91,孙健 杨昕雨,许贵源 雷璐璐 多多,许贵源 雷璐璐 多多 武正鉌 谭佳佳,6,https://movie.douban.com/subject/30246086/,,0,42,14,,,
超萌特攻,儿童 喜剧,2018-11-24(中国大陆),93,许美君,贺刚 李卓航 董立范,贺刚 李卓航 董立范 张漫文 王娅楠 吴明洁 年丁旭 吴孟樵 周子越 赵施玥珊,6,https://movie.douban.com/subject/27125000/,,0,18,0,,,
熊猫石的奇幻旅行,儿童 奇幻 冒险,2018-02-09(中国大陆),89,吴晓东,康钰潇 杨家麟 Aber Mae,康钰潇 杨家麟 Aber Mae 廖佳军 Samuel Goldstein Alex 钟远林 孔斐 马小华,6,https://movie.douban.com/subject/30125762/,,0,5,0,,0.0,
河间圣手,剧情 传记 历史,2018-03-29(中国大陆),92,孙爱国,杨子骅 孟晓涵 杨千里,杨子骅 孟晓涵 杨千里 张学仁 杜秀军 寇振海 句号,6,https://movie.douban.com/subject/27072634/,,0,24,3,,,
奔,剧情 爱情 西部,2018-02-06(中国大陆),90,谢毅航 林建邦,刘牧 陈晓桑 何为,刘牧 陈晓桑 何为 张烨,6,https://movie.douban.com/subject/26865342/,,0,16,2,,0.0,
只想好好和你在一起,爱情,2018-01-05(中国大陆),95,屈珂羽,刘思伟 杨小璇 郑淑贤,刘思伟 杨小璇 郑淑贤 周婧 二勇,5,https://movie.douban.com/subject/27614421/,,0,1,2,,0.0,
芒刺,剧情,2018-01-16(中国大陆),90,陈俊霖,隋名旸 石峄 马强,隋名旸 石峄 马东延 赵芙丽 鲁恩滨 程小夏,5,https://movie.douban.com/subject/27601920/,3.5,230,81,3,,,
遥远的他,爱情,2018-09-06(中国大陆),85,李嘉华,张垚祎 陈熙明 柳杨,张垚祎 陈熙明 柳杨,5,https://movie.douban.com/subject/30316367/,,0,6,3,,,
爱情的单程列车,爱情,2018-02-14(中国大陆),90,张雷,范军 李月 郑亚龙,范军 李月 郑亚龙 王倚天 李瑞瑶,5,https://movie.douban.com/subject/30134714/,,0,17,0,,0.0,
时间监狱,动作 爱情 悬疑,2018-06-15(中国大陆),98,丁文,刘默飞 白茹 苑立若心,刘默飞 白茹 苑立若心 张茗杰 薛庆 李梓辰 今野晴也 齐藤广海 杨彬瑶,5,https://movie.douban.com/subject/30198241/,,0,5,0,,,
雾都神探之绝情箭,剧情 冒险,2018-05-25(中国大陆),87,孙铎,孙骁潇 余薇薇 孙丹丹,孙骁潇 余薇薇 孙丹丹 李耕 张春年 曾韵蓁 程爽,5,https://movie.douban.com/subject/30197104/,,0,36,1,,,
盯上小偷的贼,喜剧 动作,2018-06-08(中国大陆),92,成宇兴,孙海洋 彭波 刚毅,孙海洋 彭波 刚毅 夏梦 王军 罗长城 张露瑶,4,https://movie.douban.com/subject/30217368/,,0,8,1,,0.0,
左手右手,剧情 爱情,2018-12-07(中国大陆),95,张万一,李修蒙 马境 张嘉,李修蒙 马境 张嘉 任伟,4,https://movie.douban.com/subject/30389634/,,0,1,0,,0.0,
审判者1,犯罪 悬疑,2018-09-14(中国大陆),102,郑成飞,尹子维 李灿森 郭常辉,尹子维 李灿森 郭常辉 方川 陈禹铭 李夏佩 彭波 周超峰 孙鸣蔚 赵旭 陈青晔 刘静怡 李欢,4,https://movie.douban.com/subject/30305663/,,0,76,8,6.2,,
那条河,剧情 爱情,2018-09-07(中国大陆),82,张锐,王庆祥 迟蓬 张杨果而,王庆祥 迟蓬 张杨果而 徐囡楠 宋歌,4,https://movie.douban.com/subject/30296640/,,0,7,7,,0.0,
我想和你们在一起,剧情,2018-06-01(中国大陆),94,颜芳,王彦夫 陈博睿 牛军,王彦夫 陈博睿 牛军 张国荣 张馨月,4,https://movie.douban.com/subject/27087885/,,0,3,0,,,
